,AMBITO,COMUNIDAD - MUNICIPIO,FECHA,FIESTA - LOCALIDAD,lat,lng
103,LOCAL,ONÍS,2023-07-18,Santa Marina,43.335030000000074,-4.967179999999928
104,LOCAL,OVIEDO,2023-05-30,Martes de Campo,43.36269000000004,-5.8476799999999685
105,LOCAL,OVIEDO,2023-09-21,San Mateo,43.36269000000004,-5.8476799999999685
106,LOCAL,PARRES,2023-05-22,Festividad de Santa Rita de Cassia,43.39023000000003,-5.185229999999933
107,LOCAL,PARRES,2023-07-31,Día del Bollín,43.39023000000003,-5.185229999999933
108,LOCAL,PEÑAMELLERA ALTA,2023-07-16,La fiesta de San Sebastián,43.33266000000003,-4.70396999999997
109,LOCAL,PEÑAMELLERA ALTA,2023-09-01,La Sacramental,43.33266000000003,-4.70396999999997
110,LOCAL,PEÑAMELLERA BAJA,2023-05-15,Feria de San Isidro,43.32635000000005,-4.585009999999954
111,LOCAL,PEÑAMELLERA BAJA,2023-08-16,Fiesta de San Roque,43.32635000000005,-4.585009999999954
112,LOCAL,PESOZ,2023-08-14,La Asunción de nuestra Señora,43.25699000000003,-6.875369999999975
113,LOCAL,PESOZ,2023-10-13,Fiesta patronal,43.25699000000003,-6.875369999999975
114,LOCAL,PILOÑA,2023-06-13,San Antonio en Infiesto y resto del Concejo,43.34534000000008,-5.361209999999971
115,LOCAL,PILOÑA,2023-10-16,Sta. Teresa en Infiesto y resto del concejo,43.34534000000008,-5.361209999999971
116,LOCAL,PILOÑA,2023-06-09,En Villamayor,43.34534000000008,-5.361209999999971
117,LOCAL,PILOÑA,2023-06-12,En Villamayor (Corpus Christi),43.34534000000008,-5.361209999999971
118,LOCAL,PILOÑA,2023-06-30,San Pedro en Sebares,43.34534000000008,-5.361209999999971
119,LOCAL,PILOÑA,2023-12-07,En Sebares,43.34534000000008,-5.361209999999971
120,LOCAL,PONGA         ,2023-08-14,Nuestra Señora,33.38336000000004,-118.41757999999999
121,LOCAL,PONGA,2023-10-13,Día de la Berrea,33.38336000000004,-118.41757999999999
122,LOCAL,PRAVIA,2023-06-08,Corpus Christi,43.48821000000004,-6.111769999999979
123,LOCAL,PRAVIA,2023-09-06, Festividad del Santísimo Cristo de Misericordia,43.48821000000004,-6.111769999999979
124,LOCAL,PROAZA,2023-06-13,San Antonio,43.251960000000054,-6.016019999999969
125,LOCAL,PROAZA,2023-09-15,Los Remedios,43.251960000000054,-6.016019999999969
126,LOCAL,QUIRÓS,2023-07-28,San Melchor,43.159080000000074,-5.973259999999925
127,LOCAL,QUIRÓS,2023-09-29,San Miguel,43.159080000000074,-5.973259999999925
